date,number
December 2017,79.3%
January 2018,84.9%
February 2018,65.7%
March 2018,59.8%
April 2018,50.9%
May 2018,60.9%
June 2018,64.6%
July 2018,68.2%
August 2018,74.8%
September 2018,76.6%
October 2018,49.6%
November 2018,43.2%
December 2018,27.5%
January 2019,42.0%
February 2019,74.8%
March 2019,75.6%
April 2019,81.3%
May 2019,65.1%
June 2019,66.1%
July 2019,77.9%
August 2019,53.0%
September 2019,65.5%
October 2019,60.2%
November 2019,73.5%
December 2019,78.1%
January 2020,84.8%
February 2020,69.2%
March 2020,13.8%
April 2020,31.3%
May 2020,52.3%
June 2020,70.6%
July 2020,71.8%
August 2020,79.6%
September 2020,70.8%
October 2020,72.3%
November 2020,80.0%
December 2020,87.6%
January 2021,84.7%
February 2021,80.9%
March 2021,76.4%
April 2021,92.1%
May 2021,80.8%
June 2021,78.7%
July 2021,78.0%
August 2021,73.0%
September 2021,61.8%
October 2021,58.3%
November 2021,62.7%
December 2021,56.2%
January 2022,50.0%
February 2022,36.9%
March 2022,37.5%
April 2022,41.3%
May 2022,23.4%
June 2022,16.8%
July 2022,22.8%
August 2022,51.9%
September 2022,21.2%
October 2022,21.3%
November 2022,56.7%
December 2022,56.0%
January 2023,61.9%
February 2023,64.1%
March 2023,40.5%
April 2023,61.7%
May 2023,47.0%
June 2023,59.3%
July 2023,69.0%
