,총수익률,국면,sharpe,roro,fear_and_greed
2019-03-01,0.018321766066577493,0,0.010076522605883393,0.13010571428571427,64.13333333333333
2019-06-01,-0.05215057037307677,1,-1.614796739257743,0.1463189189189189,70.83333333333333
2019-09-01,0.02435957243349991,0,0.27663601299102425,0.24386486486486486,65.46666666666667
2019-12-01,0.07143485524692923,0,1.3827963832541244,0.18396756756756752,70.6
2020-03-01,0.0314964398271846,0,0.49485155393435626,0.16961666666666667,55.93333333333334
2020-06-01,0.01170475993247233,2,0.07735037061126827,0.2758277777777778,51.4
2020-09-01,0.07082841802383959,0,1.4858996942990632,0.4922594594594594,74.06666666666666
2020-12-01,0.032414792678221116,1,0.5465222997102597,0.5196631578947368,79.96666666666667
2021-03-01,0.1307269184053251,1,2.875943165180204,0.7017942857142857,80.66666666666667
2021-06-01,0.08513235549231615,1,1.7346274448467371,0.7594944444444444,83.86666666666666
2021-09-01,0.024979946056778522,0,0.2359158114082878,0.8384842105263158,70.93333333333334
2021-12-01,0.008338764643590985,0,-0.2322678617728248,0.8120135135135134,59.06666666666666
2022-03-01,0.06280709704246173,1,0.9430642808661083,0.5275861111111112,41.46666666666667
2022-06-01,0.09250850675396372,1,1.3966935192244687,0.2844777777777777,27.16666666666666
2022-09-01,0.02629162210887169,0,-0.29555439300546843,0.23864594594594593,31.96666666666667
2022-12-01,0.021421290241590396,0,-0.3575019606602224,0.18952777777777777,44.666666666666664
2023-03-01,0.0235170580250489,0,-0.2702727279049566,0.34484166666666666,55.5
